filename	n_seqs	n_bases	min_length	max_length	mean_quality
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5319459_barcode57/FAO12621_pass_barcode57_1505ef04_0.fastq.gz	4000	1352148	127	3370	11.08
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5319459_barcode57/FAO12621_pass_barcode57_1505ef04_6.fastq.gz	4000	1350056	128	1074	10.90
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5319459_barcode57/FAO12621_pass_barcode57_1505ef04_1.fastq.gz	4000	1360608	130	1090	10.94
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5319459_barcode57/FAO12621_pass_barcode57_1505ef04_3.fastq.gz	4000	1347258	142	1623	10.85
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5319459_barcode57/FAO12621_pass_barcode57_1505ef04_4.fastq.gz	4000	1349476	149	966	10.92
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5319459_barcode57/FAO12621_pass_barcode57_1505ef04_5.fastq.gz	4000	1343183	130	961	10.91
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5319459_barcode57/FAO12621_pass_barcode57_1505ef04_2.fastq.gz	4000	1341539	138	2304	10.83
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5319459_barcode57/FAO12621_pass_barcode57_1505ef04_7.fastq.gz	4000	1344389	131	1093	10.99
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5118551_barcode89/FAO12621_pass_barcode89_1505ef04_2.fastq.gz	4000	1313885	132	860	10.94
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5118551_barcode89/FAO12621_pass_barcode89_1505ef04_3.fastq.gz	4000	1324569	112	1458	10.98
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5118551_barcode89/FAO12621_pass_barcode89_1505ef04_0.fastq.gz	4000	1323227	121	966	11.00
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5118551_barcode89/FAO12621_pass_barcode89_1505ef04_1.fastq.gz	4000	1321951	132	905	10.92
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5201619_barcode59/FAO12621_pass_barcode59_1505ef04_1.fastq.gz	4000	1367388	140	1953	10.96
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5201619_barcode59/FAO12621_pass_barcode59_1505ef04_8.fastq.gz	4000	1375756	116	1028	10.98
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5201619_barcode59/FAO12621_pass_barcode59_1505ef04_6.fastq.gz	4000	1363867	138	961	10.92
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5201619_barcode59/FAO12621_pass_barcode59_1505ef04_3.fastq.gz	4000	1366692	139	1434	10.91
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5201619_barcode59/FAO12621_pass_barcode59_1505ef04_0.fastq.gz	4000	1360528	145	1629	11.11
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5201619_barcode59/FAO12621_pass_barcode59_1505ef04_2.fastq.gz	4000	1361627	138	978	10.90
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5201619_barcode59/FAO12621_pass_barcode59_1505ef04_5.fastq.gz	4000	1372375	144	978	10.96
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5201619_barcode59/FAO12621_pass_barcode59_1505ef04_7.fastq.gz	4000	1372472	131	972	10.98
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5201619_barcode59/FAO12621_pass_barcode59_1505ef04_4.fastq.gz	4000	1374514	133	1656	10.91
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/486910_barcode72/FAO12621_pass_barcode72_1505ef04_0.fastq.gz	4000	1350625	135	1656	10.96
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/486910_barcode72/FAO12621_pass_barcode72_1505ef04_1.fastq.gz	4000	1339845	140	736	10.83
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/486910_barcode72/FAO12621_pass_barcode72_1505ef04_4.fastq.gz	4000	1339095	136	764	10.86
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/486910_barcode72/FAO12621_pass_barcode72_1505ef04_3.fastq.gz	4000	1342917	134	943	10.85
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/486910_barcode72/FAO12621_pass_barcode72_1505ef04_2.fastq.gz	4000	1337720	140	735	10.77
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5219130_barcode80/FAO12621_pass_barcode80_1505ef04_5.fastq.gz	4000	1360624	129	795	10.94
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5219130_barcode80/FAO12621_pass_barcode80_1505ef04_0.fastq.gz	4000	1359078	131	1365	11.03
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5219130_barcode80/FAO12621_pass_barcode80_1505ef04_2.fastq.gz	4000	1341051	132	635	10.82
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5219130_barcode80/FAO12621_pass_barcode80_1505ef04_1.fastq.gz	4000	1359883	128	2248	10.86
